stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
2648,,"Доломитная",,55.25096,61.45125,,,
2623,,"Коксохим",,55.26811,61.45085,,,
2651,,"Коксохим",,55.26824,61.45083,,,
2625,,"Оздоровительный центр",,55.26243,61.45193,,,
2650,,"Оздоровительный центр",,55.26275,61.45187,,,
2624,,"Пекоксовая",,55.25663,61.45307,,,
2649,,"Пекоксовая",,55.25644,61.45306,,,
2622,,"ЭСПЦ-6",,55.27203,61.45005,,,
2653,,"ЭСПЦ-6",,55.27216,61.45009,,,
2012,,"Кинотеатр Сокол",,55.28896,61.51073,,,
2013,,"Кинотеатр Сокол",,55.28895,61.51041,,,
2010,,"Метеостанция",,55.27648,61.50639,,,
2011,,"Метеостанция",,55.27982,61.50855,,,
2007,,"поворот на ЧМК",,55.26061,61.49786,,,
2008,,"поворот на ЧМК",,55.26081,61.49770,,,
4460,,"пов. на ЧВВАКУШ",,55.24141,61.36117,,,
4478,,"ТК Орбита",,55.23305,61.36870,,,
5351,,"ТК Орбита",,55.23252,61.36860,,,
2127,,"ул. Красноуфимская",,55.23744,61.40105,,,
2128,,"ул. Красноуфимская",,55.23739,61.40064,,,
2122,,"ул. Орловская",,55.23681,61.41028,,,
2123,,"ул. Орловская",,55.23677,61.40941,,,
2113,,"ул. Урожайная",,55.23660,61.41362,,,
2114,,"ул. Урожайная",,55.23662,61.41448,,,
3086,,"Школа №71",,55.24039,61.39008,,,
3088,,"Школа №71",,55.24026,61.39089,,,
2243,,"ДЦ Импульс",,55.24182,61.38392,,,
2241,,"Юридический техникум",,55.24710,61.38987,,,
1588,,"Кафе Сказка",,55.26443,61.39970,,,
1590,,"Магазин Чипполино",,55.26416,61.38970,,,
1595,,"Магазин Чипполино",,55.26422,61.39108,,,
4690,,"ул. Дегтярёва",,55.26441,61.39646,,,
3152,,"ул.Дегтярева",,55.26431,61.39714,,,
329,,"ЧМК",,55.26443,61.41142,,,
330,,"ЧМК",,55.26470,61.41094,,,
2138,,"Магазин",,55.23159,61.39547,,,
2139,,"Магазин",,55.23219,61.39525,,,
2178,,"Старое Першино",,55.22325,61.39491,,,
2144,,"ул. Аральская",,55.22817,61.39534,,,
2145,,"ул. Аральская",,55.22843,61.39551,,,
2341,,"Администрация",,55.25851,61.39989,,,
2354,,"Администрация",,55.25863,61.40095,,,
2339,,"Кинотеатр Россия",,55.25841,61.39129,,,
2358,,"Кинотеатр Россия",,55.25849,61.39042,,,
3173,,"Магазин Антошка",,55.25824,61.37080,,,
3201,,"Магазин Антошка",,55.25813,61.36955,,,
3175,,"Магазин Яблонька",,55.25820,61.36619,,,
3200,,"Магазин Яблонька",,55.25810,61.36546,,,
1392,,"Общежитие",,55.25842,61.38323,,,
2093,,"Спорт комплекс Метар",,55.24244,61.40462,,,
2099,,"ул. Винницкая",,55.24457,61.41067,,,
3107,,"пос. Северный",,55.27120,61.39664,,,
3143,,"пос. Северный",,55.27086,61.39651,,,
3105,,"ул. Трудовая",,55.26749,61.39676,,,
3147,,"ул. Трудовая",,55.26625,61.39662,,,
4552,,"Стадион Мечелл",,55.25965,61.39087,,,
3122,,"Подсобное хозяйство",,55.29920,61.38010,,,
3126,,"Подсобное хозяйство",,55.29911,61.38009,,,
3123,,"пос. Каштак",,55.30105,61.37173,,,
3125,,"пос. Каштак",,55.30096,61.37172,,,
3179,,"Профилакторий",,55.29685,61.35843,,,
3180,,"Профилакторий",,55.29677,61.35864,,,
3177,,"с. Казанцево",,55.27492,61.36489,,,
3178,,"с. Казанцево",,55.27483,61.36471,,,
2132,,"Школа №57",,55.23601,61.39887,,,
3119,,"Дом престарелых",,55.29044,61.38204,,,
3128,,"Дом престарелых",,55.29033,61.38199,,,
3118,,"Интернат",,55.28896,61.38407,,,
3129,,"Интернат",,55.28881,61.38407,,,
3121,,"пос. Лазурный",,55.29425,61.38354,,,
3127,,"пос. Лазурный",,55.29424,61.38338,,,
3116,,"Сад Металлург",,55.28428,61.39619,,,
3131,,"Сад Металлург",,55.28411,61.39631,,,
3117,,"Училище инвалидов",,55.28631,61.39096,,,
3130,,"Училище инвалидов",,55.28619,61.39100,,,
2642,,"Автобаза",,55.25526,61.42134,,,
2643,,"Автобаза",,55.25506,61.42160,,,
2633,,"Локомотивная",,55.24675,61.43241,,,
2645,,"Локомотивная",,55.24702,61.43203,,,
2634,,"Монтажное управление",,55.24850,61.43006,,,
2644,,"Монтажное управление",,55.24828,61.43035,,,
1641,,"Подстанция",,55.24934,61.42859,,,
1642,,"Подстанция",,55.24949,61.42857,,,
2635,,"ул. Монтажников",,55.25781,61.41795,,,
2641,,"ул. Монтажников",,55.25759,61.41821,,,
1643,,"ЭСПЦ-5",,55.24554,61.43400,,,
1644,,"ЭСПЦ-5",,55.24548,61.43427,,,
2646,,"ЭСПЦ-5",,55.24571,61.43411,,,
2647,,"ЭСПЦ-5",,55.24555,61.43434,,,
1380,,"ул. Обухова",,55.24712,61.37434,,,
1723,,"Почта",,55.23757,61.36822,,,
1831,,"Почта",,55.23722,61.36883,,,
1724,,"ул. Набережная",,55.24181,61.36477,,,
1830,,"ул. Набережная",,55.24156,61.36467,,,
1722,,"ул. Пети Калмыкова",,55.23636,61.37297,,,
1832,,"ул. Пети Калмыкова",,55.23625,61.37313,,,
2582,,"База оборудования",,55.28318,61.40912,,,
2583,,"База оборудования",,55.28339,61.40958,,,
2576,,"Завод Теплоприбор",,55.27436,61.39842,,,
2577,,"Завод Теплоприбор",,55.27422,61.39864,,,
3112,,"Завод Теплоприбор",,55.27406,61.39933,,,
3134,,"Завод Теплоприбор",,55.27407,61.39915,,,
2592,,"Кооператив №507",,55.30110,61.42683,,,
2593,,"Кооператив №507",,55.30096,61.42731,,,
2586,,"Копровый",,55.28938,61.41761,,,
2587,,"Копровый",,55.28920,61.41739,,,
2594,,"Подстанция",,55.29937,61.43203,,,
2595,,"Подстанция",,55.29959,61.43177,,,
2590,,"Пожарное депо",,55.30029,61.42366,,,
2591,,"Пожарное депо",,55.29999,61.42344,,,
3109,,"Приборостроительная",,55.27197,61.40190,,,
2580,,"Прокатная",,55.28075,61.40348,,,
2581,,"Прокатная",,55.28104,61.40413,,,
2578,,"Садовая",,55.27765,61.39599,,,
